antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'SEXO_CATEG_1'}),frozenset({'ACESSO_INTERNET_CATEG_1'}),0.5328037489998857,0.7307501809730635,0.38549167523907496,0.7235153205334478,0.9900994065715019,-0.0038547607657182237,0.9738326895596,-0.020954908624872454
frozenset({'SEXO_CATEG_1'}),frozenset({'ENSINO_FUNDAMENTAL_CATEG_1'}),0.5328037489998857,0.817198155979731,0.4361260334514421,0.8185491079409346,1.001653151015232,0.000719792269648023,1.007445275941459,0.0035326110042052726
frozenset({'SEXO_CATEG_1'}),frozenset({'REPROVOU_CATEG_0'}),0.5328037489998857,0.7496475787709072,0.4232674210385949,0.79441524545032,1.0597182835604062,0.023852380640768445,1.217757716409826,0.12061950450705268
frozenset({'SEXO_CATEG_1'}),frozenset({'ABANDONOU_CATEG_0'}),0.5328037489998857,0.9072084428696613,0.48321712957671353,0.9069326754621188,0.9996960264096857,-0.0001469299085906095,0.9970369041023599,-0.0006504081543574889
frozenset({'SEXO_CATEG_2'}),frozenset({'ACESSO_INTERNET_CATEG_1'}),0.4671962510001143,0.7307501809730635,0.34525850573398864,0.7390010193679918,1.0112909152946654,0.003854760765718279,1.031612531110079,0.020954908624872752
frozenset({'SEXO_CATEG_2'}),frozenset({'ENSINO_FUNDAMENTAL_CATEG_1'}),0.4671962510001143,0.817198155979731,0.3810721225282889,0.81565749235474,0.9981147000715587,-0.000719792269648023,0.9916423854450558,-0.0035326110042052726
frozenset({'SEXO_CATEG_2'}),frozenset({'ABANDONOU_CATEG_0'}),0.4671962510001143,0.9072084428696613,0.42399131329294776,0.9075229357798165,1.0003466600345565,0.0001469299085906095,1.0034007665879874,0.0006504081543574889
frozenset({'IDADE_CATEG_17'}),frozenset({'ACESSO_INTERNET_CATEG_1'}),0.4852745075627691,0.7307501809730635,0.3699279917704881,0.7623066656198477,1.0431836836561077,0.015313557547380285,1.1327613360680726,0.08042354681819235
frozenset({'IDADE_CATEG_17'}),frozenset({'ENSINO_FUNDAMENTAL_CATEG_1'}),0.4852745075627691,0.817198155979731,0.37646207185583114,0.7757713747350239,0.9493063206988751,-0.020103360868435782,0.8152475795819908,-0.09399453037083563
frozenset({'IDADE_CATEG_17'}),frozenset({'REPROVOU_CATEG_0'}),0.4852745075627691,0.7496475787709072,0.46713910161161276,0.9626285624558374,1.2841081459025394,0.10335424197793863,6.699031069737313,0.42983958391778715
frozenset({'IDADE_CATEG_17'}),frozenset({'ABANDONOU_CATEG_0'}),0.4852745075627691,0.9072084428696613,0.4788737760505963,0.9868100808667661,1.0877434933754704,0.038628645680234885,7.035036090292418,0.15671578747637263
frozenset({'IDADE_CATEG_18'}),frozenset({'ACESSO_INTERNET_CATEG_1'}),0.3310664075894388,0.7307501809730635,0.23909399169428888,0.7221934518671961,0.9882904865046036,-0.002832845565795522,0.9691989653830011,-0.017403887701321445
frozenset({'IDADE_CATEG_18'}),frozenset({'ENSINO_FUNDAMENTAL_CATEG_1'}),0.3310664075894388,0.817198155979731,0.27986055549205624,0.8453305713792508,1.034425451395925,0.00931369770313284,1.1818873687605116,0.04975049889317555
frozenset({'IDADE_CATEG_18'}),frozenset({'ABANDONOU_CATEG_0'}),0.3310664075894388,0.9072084428696613,0.3119975616260906,0.9424017492375856,1.038792966097848,0.011651321510423251,1.6110134579102457,0.055826574536673765
frozenset({'FORMACAO_MAE_CATEG_0'}),frozenset({'NUMERO_COMPUTADORES_CATEG_0'}),0.1657332266544748,0.6639234960185926,0.1322246351964034,0.797816091954023,1.2016687114379228,0.02219045194952271,1.66223171383641,0.20116333311680187
frozenset({'FORMACAO_MAE_CATEG_0'}),frozenset({'ENSINO_FUNDAMENTAL_CATEG_1'}),0.1657332266544748,0.817198155979731,0.1551034403931878,0.9358620689655173,1.1452082485961086,0.0196665531865802,2.8501362777353783,0.15198540066444274
frozenset({'FORMACAO_MAE_CATEG_0'}),frozenset({'REPROVOU_CATEG_0'}),0.1657332266544748,0.7496475787709072,0.11822303501352535,0.7133333333333334,0.9515582435454362,-0.006018477069891642,0.8733223996363705,-0.05751161527786153
frozenset({'FORMACAO_MAE_CATEG_0'}),frozenset({'ABANDONOU_CATEG_0'}),0.1657332266544748,0.9072084428696613,0.14413075780089152,0.8696551724137931,0.9586056867624815,-0.006223824684079199,0.7118928986190006,-0.049212906091578155
frozenset({'FORMACAO_MAE_CATEG_1'}),frozenset({'FORMACAO_PAI_CATEG_1'}),0.1371394826075361,0.23151217281975084,0.12007086524174192,0.8755382692040561,3.7818239038589416,0.0883214056438948,6.174490923962736,0.852486941205516
frozenset({'FORMACAO_MAE_CATEG_1'}),frozenset({'NUMERO_COMPUTADORES_CATEG_0'}),0.1371394826075361,0.6639234960185926,0.10462148055015812,0.7628837338519239,1.1490536762545305,0.013571355815181763,1.4173490053674,0.1503355802903149
frozenset({'FORMACAO_MAE_CATEG_1'}),frozenset({'ENSINO_FUNDAMENTAL_CATEG_1'}),0.1371394826075361,0.817198155979731,0.12370937630967349,0.9020697319072093,1.1038567883523018,0.011639244010780592,1.8666531561729305,0.10903892434542564
frozenset({'FORMACAO_MAE_CATEG_1'}),frozenset({'ABANDONOU_CATEG_0'}),0.1371394826075361,0.9072084428696613,0.12189964567379129,0.8888734546464786,0.9797896631504157,-0.002514450798542539,0.8350080247266348,-0.023347488642241194
