IDADE,FORMAÇÃO DA MÃE,FORMAÇÃO DO PAI,ACESSO A INTERNET,NUMERO DE COMPUTADORES,INICIOU OS ESTUDOS,CURSO O ENSINO FUNDAMENTAL,REPROVOU,ABANDONOU A  ESCOLA,GESTÃO ESCOLAR / PROFESSORES TRABALHAM COM FOCO NO SPAECE,PROFESSORES TIRAM DUVIDAS,PROFESSORES CORRIGEM AS ATIVIDADES,TURNO ESCOLAR,NUMERO DE PONTOS EM PORTUGUES,NÚMERO DE PONTOS EM MATEMÁTICA,SEXO,PROFICIENCIA EM PORTUGUES,PROFICIENCIA EM MATEMÁTICA
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,,,,,,,,,,,,
20,3,4,1,0,5,1,1,2,3,3,3,4,19,6,1,313.27,248.19
17,3,3,1,1,3,1,0,0,2,2,1,2,5,4,1,187.96,226.4
18,3,2,0,0,3,1,0,0,3,2,1,4,17,4,1,294.12,259.74
17,3,3,0,1,3,1,0,0,3,3,3,1,10,5,1,233.31,212
17,3,5,1,0,3,1,0,0,2,2,2,1,9,5,1,239.38,208.59
17,3,5,1,1,9,1,0,0,2,2,1,3,8,8,1,203.03,292.43
18,2,2,0,0,5,1,0,0,2,2,2,4,21,6,1,319.34,327.95
18,3,2,1,1,5,1,0,0,2,2,1,2,13,5,1,269.36,266.99
17,5,3,0,0,3,1,0,0,2,2,2,1,8,4,1,219.87,243.49
17,3,3,1,0,3,3,0,0,2,2,2,4,22,21,1,344.52,440.64
17,3,3,1,0,3,1,0,0,3,3,3,1,10,5,1,252.26,242
18,1,1,0,0,5,1,0,1,2,2,2,1,19,6,1,304.51,265.87
19,1,1,0,0,3,1,1,0,2,2,1,4,21,13,1,319.18,358.7
17,4,3,1,0,3,1,0,0,2,2,1,1,16,12,1,285.05,331.3
19,2,2,0,0,7,1,1,0,2,3,3,2,9,8,1,247.48,259.28
18,2,2,0,0,5,1,0,0,2,2,2,2,14,5,1,277.42,235.32
17,4,3,0,0,3,1,0,0,1,3,1,1,16,9,1,294.68,315.83
18,3,1,0,1,3,1,0,0,3,2,2,2,16,6,1,276.15,272.09
19,1,1,0,0,5,1,1,0,3,2,2,4,14,9,1,264.58,274.77
17,1,3,1,0,5,1,0,0,3,3,3,3,9,3,1,207.4,211.09
19,3,3,1,0,3,3,1,0,2,2,2,2,19,14,1,308.58,340.22
18,2,2,0,0,5,1,0,0,2,2,2,3,7,6,1,224.89,221.52
19,5,4,1,0,3,3,0,1,3,0,2,1,9,3,1,221.36,233.71
18,3,2,1,1,5,1,0,1,2,1,3,4,10,10,1,227.75,283.3
20,1,1,0,0,3,1,0,1,2,2,2,3,18,8,1,301.76,285.07
18,5,5,0,0,5,1,0,0,2,2,2,2,17,3,1,282.56,225.08
20,3,3,0,0,3,1,1,1,2,2,2,1,22,9,1,325.75,310.66
17,2,2,1,0,3,1,0,0,2,3,3,4,10,8,1,216.9,260.22
18,3,2,0,0,3,1,0,0,2,2,2,1,4,5,1,178.75,243.11
17,3,2,0,0,3,1,0,0,2,2,2,1,21,8,1,307.2,289.57
20,3,5,0,0,3,1,0,0,3,3,1,2,22,10,1,334.06,310.84
18,3,5,0,1,3,1,0,0,3,3,3,1,11,5,1,238.96,246.42
17,3,3,0,0,3,1,0,0,2,1,2,3,8,5,1,226.38,216.83
18,4,5,1,1,5,1,0,0,2,2,2,2,23,9,1,333.45,305.63
17,2,1,1,0,7,1,0,0,2,2,2,1,20,4,1,312.52,251.02
17,2,2,1,1,3,1,0,0,1,1,1,2,10,6,1,237.87,240.63
18,2,2,0,0,5,1,0,0,2,2,2,4,20,15,1,316.94,373.72
18,1,1,0,0,5,1,0,0,3,2,2,4,24,14,1,348.96,364.69
17,5,6,0,0,3,1,0,0,2,2,2,1,20,7,1,297.72,217.35
17,4,2,1,1,3,1,0,0,2,2,2,1,18,6,1,301.56,294.62
17,3,3,1,1,3,1,0,0,1,2,0,3,14,4,1,279.74,278.21
17,4,3,1,1,5,1,0,0,3,2,2,2,7,4,1,220.05,196.54
17,3,5,1,1,3,1,0,0,2,3,3,2,11,3,1,250.84,204.75
18,5,2,1,0,3,1,0,0,2,2,2,1,14,4,1,260.63,251.96
18,1,2,0,0,3,1,0,0,2,1,2,2,5,7,1,192.57,237.45
18,4,5,0,0,5,1,0,0,2,2,2,4,7,3,1,221.12,212.24
18,4,5,1,1,3,1,0,0,3,2,2,1,6,8,1,186.16,261.41
20,4,3,1,0,3,1,1,1,2,2,2,1,11,0,1,250.23,199.22
17,3,5,1,1,3,1,0,0,2,2,2,1,18,10,1,296.04,304.69
17,5,3,1,0,3,3,0,0,2,2,3,1,26,8,1,385.23,321.29
17,3,1,0,0,3,1,0,0,2,3,3,1,13,7,1,258.31,278.87
17,3,5,1,0,3,3,0,0,3,3,3,2,15,6,1,268.39,281.83
17,3,3,1,0,5,1,0,0,3,2,1,4,13,3,1,265.8,233.17
18,3,3,1,0,7,1,0,0,2,2,2,1,7,3,1,221.33,215.44
17,3,4,1,0,3,1,0,0,2,2,2,1,9,6,1,229.72,293
17,1,1,0,0,3,1,0,0,2,3,2,4,24,11,1,365.35,357.55
19,6,3,1,2,5,3,1,0,2,2,2,1,12,5,1,254.65,238.28
19,3,3,1,0,3,1,1,0,2,2,3,2,6,5,1,211.05,224.18
17,3,3,1,0,3,1,0,0,2,2,2,2,25,4,1,361.78,272.49
17,4,2,1,1,3,2,0,0,2,3,2,2,19,13,1,312.67,343.67
17,3,2,0,0,3,1,0,0,3,3,2,4,21,13,1,325.93,332.93
18,2,2,0,0,7,1,1,0,2,3,1,1,20,7,1,319.94,271.52
18,3,3,1,1,3,1,0,0,3,2,1,4,24,18,1,355.7,426.28
18,4,4,1,1,3,1,0,0,2,2,2,1,8,4,1,217.46,240.56
17,3,5,1,0,3,1,0,0,3,3,2,1,9,8,1,230.31,272.32
17,4,2,1,0,3,3,0,0,3,3,3,4,16,10,1,285.86,286.61
17,6,4,1,0,5,3,0,0,2,1,1,3,17,6,1,299.51,278.44
18,4,4,1,0,3,1,0,0,2,2,2,3,5,1,1,194.45,190.5
18,2,2,0,0,3,1,1,0,3,2,2,1,21,12,1,333.71,359.99
19,4,4,1,1,5,1,2,0,3,2,3,1,8,5,1,206.72,222.08
18,5,5,1,0,5,3,0,0,2,3,2,1,16,5,1,287.24,223.88
17,4,1,1,0,3,1,0,0,2,2,1,1,9,8,1,240.69,305.38
17,3,3,0,1,3,3,0,0,2,2,2,1,9,4,1,200.39,216.5
18,2,2,0,0,5,1,1,0,2,2,2,1,8,3,1,179.82,218.47
18,3,1,0,0,5,1,0,0,2,2,2,1,7,4,1,214.67,198.17
17,5,5,0,0,3,1,0,0,1,3,2,1,10,1,1,239.53,217.41
18,2,2,1,0,3,1,2,0,2,2,1,1,21,10,1,300.02,334.86
18,3,1,0,0,7,1,0,0,2,3,2,2,16,11,1,273.03,311.27
19,3,3,1,0,3,1,0,0,1,2,2,3,20,9,1,299.35,295.87
18,3,3,0,0,3,1,1,0,2,2,2,4,22,19,1,328.6,427.81
17,3,1,1,0,3,3,0,0,3,3,2,2,23,11,1,335.34,323.31
18,1,3,0,0,3,1,0,0,2,2,1,2,5,6,1,189.94,220.51
17,3,3,1,1,3,1,0,0,3,3,3,1,24,9,1,357.89,310.13
17,5,2,1,0,3,3,0,0,2,3,1,1,14,5,1,261.71,242.02
17,1,4,1,1,3,1,0,0,1,2,2,1,10,4,1,252.95,203.59
17,3,1,0,0,3,1,0,0,1,1,1,1,15,8,1,266.95,289.09
17,2,2,0,0,3,1,0,0,2,2,3,2,5,3,1,214.51,221.54
19,2,2,0,0,3,1,2,0,2,2,1,3,13,9,1,272.36,288.42
19,3,3,0,0,3,1,0,0,1,2,2,4,21,4,1,316.66,254.22
17,6,2,1,1,3,1,0,0,3,2,3,2,16,12,1,274.28,311.52
18,2,2,0,1,3,1,1,0,2,2,2,4,24,20,1,360.33,423.98
18,1,1,1,0,5,1,1,0,2,2,2,2,10,2,1,244.44,224.85
17,5,4,0,0,3,1,0,0,0,1,0,1,14,7,1,281.25,263.78
17,4,4,1,0,3,3,0,0,3,3,2,1,14,9,1,264.42,277.07
17,4,3,0,0,3,1,0,0,2,3,3,1,23,7,1,342.62,311.28
17,1,2,0,0,5,1,0,0,2,2,2,3,8,1,1,199.42,202.68
17,5,5,1,0,7,1,0,0,2,2,2,2,10,2,1,252.55,189.49
18,5,5,0,0,3,1,0,0,3,2,2,2,7,3,1,216.81,235.83
19,4,4,1,0,5,1,1,0,2,2,3,1,4,2,1,171.32,199.78
17,3,1,1,0,3,3,0,0,1,1,1,2,17,9,1,298.18,306.74
18,5,5,0,0,3,3,0,0,2,2,1,1,7,9,1,214.32,273.29
17,5,5,1,0,3,1,0,0,3,2,2,3,11,4,1,238.22,222.57
18,3,4,1,1,5,1,0,0,1,2,3,2,7,4,1,186.52,259.52
17,4,4,1,0,3,1,0,0,3,3,3,2,19,6,1,297.83,279.11
18,3,3,1,0,3,1,0,0,2,2,2,2,10,3,1,233.4,198.4
17,5,2,1,0,3,1,0,0,3,2,2,3,5,5,1,168.16,197.87
19,2,2,0,0,5,1,1,0,1,2,2,1,22,5,1,337.69,255.7
18,5,5,1,0,3,1,0,0,2,3,3,1,7,10,1,219.38,312.4
17,3,2,1,0,3,1,0,0,1,2,2,1,18,14,1,308.78,344.44
17,3,3,1,0,3,1,0,0,2,2,2,3,9,8,1,232.44,311.29
20,6,6,1,0,3,2,0,0,1,1,1,1,16,11,1,288.18,340.78
18,5,1,1,0,3,1,1,0,2,2,2,4,22,14,1,341.6,357.96
17,1,1,0,0,3,1,0,0,2,3,3,4,7,13,1,219.97,388.29
17,6,3,1,0,3,1,0,0,1,2,1,3,18,5,1,307.34,277.02
17,4,5,1,1,5,1,0,0,2,2,1,2,11,7,1,256.08,278.38
18,5,2,0,1,3,3,0,0,2,2,2,4,16,2,1,280.84,227.85
18,3,2,0,0,3,1,0,0,3,3,2,4,16,4,1,277.57,230.34
18,2,2,0,0,3,1,0,0,3,3,3,3,9,5,1,213.24,258.24
18,3,1,0,0,5,1,0,0,1,1,0,1,8,4,1,232.49,238.62
18,2,2,0,0,3,1,0,0,2,2,2,1,18,7,1,294.54,292.79
17,1,1,1,0,3,1,0,0,2,2,2,4,7,8,1,221.75,295.01
18,5,4,1,1,3,1,0,0,3,2,3,2,18,9,1,309.9,313.02
18,4,5,0,0,5,1,0,0,2,2,2,1,21,21,1,333.8,409.4
18,5,5,0,0,3,1,0,0,2,3,2,2,9,6,1,244.78,268.51
19,5,2,1,0,3,1,1,0,0,2,2,1,9,5,1,219.02,231.77
17,1,2,0,0,3,1,0,0,2,2,2,4,19,2,1,298.9,226.61
17,1,4,0,0,5,1,0,0,2,2,2,2,15,8,1,267,276.28
19,5,5,1,1,5,2,2,0,2,2,2,2,19,8,1,301.1,313.8
17,5,2,0,0,3,1,0,0,1,2,1,4,23,21,1,333.32,443.49
17,3,1,0,0,3,1,0,0,2,3,1,2,20,7,1,315.02,260.98
18,4,4,0,0,3,1,0,0,2,2,2,4,23,18,1,353.08,416.2
18,3,3,0,0,3,1,0,0,2,2,2,4,12,7,1,251.26,264.15
19,4,3,1,0,3,1,2,0,1,2,2,4,14,8,1,246.11,286.3
17,2,2,1,0,3,1,0,0,2,2,2,4,25,23,1,379.38,447.04
18,5,5,0,0,3,1,1,0,2,2,2,1,18,3,1,299.44,259.73
17,3,2,0,0,5,1,0,0,1,2,2,1,13,10,1,260.6,299.21
18,2,2,1,1,7,1,1,0,2,1,1,1,4,5,1,176.98,212.98
17,5,3,0,0,3,1,2,0,2,2,1,2,13,9,1,259.96,331.63
18,5,5,1,0,3,1,1,0,2,2,2,4,17,7,1,281.19,267.9
17,2,2,1,0,3,1,0,0,1,2,3,2,2,3,1,159.48,241.61
17,3,1,0,0,7,1,0,0,2,2,2,1,17,3,1,285.21,238.73
17,5,5,1,0,3,1,0,0,3,3,3,3,13,5,1,265.02,240.07
18,1,2,0,0,3,1,0,0,2,2,2,4,12,12,1,258.34,316.34
17,3,1,0,0,7,1,0,0,2,2,2,2,10,5,1,252.82,235.69
17,5,4,1,0,3,1,0,0,3,2,2,2,8,2,1,228.99,185.72
17,6,5,1,1,3,1,0,0,3,2,1,1,16,5,1,294.36,260.52
17,1,1,1,0,3,1,1,0,1,2,2,3,15,5,1,284.92,262.75
17,4,3,0,0,3,1,0,0,2,2,2,2,13,3,1,261.7,238.43
17,2,2,0,0,3,1,0,0,2,3,2,1,18,9,1,289.39,281.21
17,5,4,0,0,3,1,0,0,2,1,2,1,6,2,1,221.89,196.7
18,2,2,0,0,5,1,0,0,3,3,2,1,11,4,1,246.45,203
18,3,2,1,0,5,1,1,0,3,3,3,1,20,7,1,321.01,261.37
18,1,1,0,0,3,1,1,0,2,2,2,4,19,7,1,311.18,308.48
17,3,1,1,2,3,1,0,0,2,2,2,2,16,9,1,289,295.72
18,3,3,1,0,3,1,1,0,2,3,2,4,13,10,1,260.38,332.87
17,1,1,0,0,3,1,0,0,2,2,2,2,10,9,1,236.89,310.78
17,5,5,1,1,5,1,0,0,2,2,2,3,7,5,1,176.61,247.35
17,1,1,1,0,5,1,0,0,3,3,3,4,19,18,1,308.61,400.36
17,6,6,1,1,3,1,0,0,3,3,3,3,20,6,1,304.85,247.85
17,3,3,1,1,5,1,0,0,2,3,2,2,17,7,1,279.91,236.7
17,1,1,0,0,3,1,0,0,1,1,2,4,20,13,1,293.5,372.04
17,4,2,1,0,3,1,0,0,3,3,3,3,15,5,1,239.54,249.06
17,5,3,1,1,3,1,0,0,2,3,2,1,12,4,1,251.91,203.53
17,4,5,0,1,3,1,0,0,2,3,3,1,17,9,1,296.27,319.61
18,5,1,0,0,3,1,0,1,3,2,1,4,19,16,1,302.11,397.19
17,5,2,1,0,3,1,1,0,3,3,3,3,12,3,1,241.18,184.45
17,3,3,0,0,3,1,0,0,2,3,2,3,10,4,1,238.44,232.85
17,2,2,1,0,3,1,0,0,2,2,2,1,21,6,1,320.49,235.53
17,4,4,1,1,3,1,0,0,3,2,2,2,10,2,1,221.35,215.05
17,1,1,1,0,3,1,0,0,2,2,2,1,15,4,1,259.75,253.5
17,1,2,1,0,3,1,0,0,2,2,2,1,15,7,1,252.99,288.23
17,6,2,1,1,3,1,0,0,2,3,2,1,7,3,1,198.28,219.36
20,1,1,0,0,3,1,2,2,2,2,2,1,6,7,1,202.27,229.36
18,2,2,0,0,3,1,0,0,2,1,3,4,18,12,1,295.51,348.39
18,1,1,0,0,7,1,0,0,2,2,2,2,8,2,1,228.41,217.62
18,3,1,0,0,7,1,0,0,3,3,2,1,23,12,1,349.71,331.68
17,1,1,1,0,3,1,0,0,2,2,2,1,23,4,1,328.73,226.81
17,3,3,0,0,3,1,0,0,2,2,2,1,14,3,1,265.18,211.75
19,6,6,1,1,3,1,2,0,2,2,2,2,21,6,1,322.59,237.63
17,1,4,1,0,3,1,0,0,2,2,2,2,7,5,1,191.18,239.41
18,3,3,0,0,3,1,0,0,2,2,2,4,24,8,1,360.42,255.21
17,4,4,1,1,3,1,0,0,2,2,1,3,11,6,1,252.02,247.96
18,4,2,1,0,5,1,1,0,3,3,3,1,12,5,1,254.56,226.78
17,1,1,0,0,3,1,0,0,3,3,2,1,5,4,1,199.7,211.86
18,3,3,0,0,3,1,0,0,3,3,3,1,12,12,1,268.89,342.23
18,5,4,1,0,3,1,0,0,2,2,2,4,21,14,1,321.19,366.3
18,3,3,0,0,5,1,1,0,3,3,2,1,7,7,1,205.31,274.24
17,5,3,1,1,3,1,0,0,2,2,2,3,14,9,1,261.5,302.19
17,3,3,1,0,3,1,0,0,2,2,2,4,15,12,1,272.09,344.66
17,4,2,0,0,5,1,0,0,1,2,2,2,18,5,1,293.08,258.81
17,3,3,0,0,5,1,0,0,2,2,2,1,9,4,1,211.68,230.99
17,3,1,0,1,3,1,0,0,2,2,2,2,13,4,1,250.96,210.8
17,3,5,1,1,3,1,0,0,3,2,2,2,12,5,1,264.52,272.13
18,5,3,0,0,3,1,0,0,2,3,2,4,16,10,1,292.05,315.31
17,3,3,1,2,3,1,0,0,2,3,1,1,11,11,1,245.23,299.4
17,5,5,1,1,5,2,0,0,3,3,2,3,13,8,1,254.19,278.98
17,4,5,1,1,3,1,0,0,3,3,1,4,15,6,1,264.54,275.58
17,5,1,0,0,5,2,0,0,1,2,3,1,22,7,1,321.23,256.07
20,1,3,0,0,7,1,0,0,3,3,2,1,14,8,1,275.27,274.74
17,4,3,1,0,3,1,0,0,3,3,3,2,13,5,1,264.66,258.41
17,6,3,1,0,3,1,0,0,2,3,3,2,15,4,1,287.59,248.62
18,5,5,1,0,3,1,1,0,2,2,1,2,17,6,1,290.78,287.95
17,4,5,1,0,3,1,0,0,3,2,2,1,10,3,1,236.99,229.47
17,3,3,1,0,3,1,0,0,3,2,1,1,19,20,1,318.11,394.85
17,4,1,1,0,3,1,0,0,3,3,3,3,14,3,1,251.2,230.49
17,4,1,0,0,3,1,0,0,2,2,2,4,20,10,1,311.68,316.72
18,3,5,1,1,3,3,0,0,2,3,2,2,20,4,1,307.23,230.44
18,3,1,1,0,5,1,1,0,1,3,2,2,16,9,1,284.03,296.66
17,5,1,0,0,3,1,0,0,3,3,2,2,9,4,1,223.67,243.24
17,2,2,0,0,5,1,0,0,3,3,3,2,12,3,1,255.87,208.99
17,4,1,0,0,3,1,0,0,3,2,2,3,18,8,1,296.35,270.26
17,3,4,1,1,3,1,0,0,3,3,3,1,15,5,1,269.4,242.25
17,3,1,1,1,3,1,0,0,3,3,3,2,11,3,1,232.06,232.47
17,3,4,0,0,3,1,0,0,3,3,2,3,6,2,1,186.57,194.98
17,6,2,1,0,3,1,0,0,3,2,2,4,13,4,1,265.92,251.5
17,3,3,0,1,3,1,0,0,2,3,2,1,25,9,1,379.38,299.71
17,1,3,1,1,5,3,0,0,3,3,2,1,9,8,1,235.04,310.77
18,3,3,1,1,3,1,0,0,2,2,2,1,15,7,1,282.11,267.17
17,4,3,1,1,3,1,0,0,3,3,3,2,17,8,1,283.71,244.33
17,5,3,0,0,3,1,0,0,2,2,2,1,16,5,1,280.09,269.71
17,1,1,1,0,5,1,0,0,2,3,2,4,18,12,1,293.32,351.31
17,5,6,1,1,3,2,0,0,2,2,2,2,17,3,1,291.75,230.27
17,3,1,0,0,5,1,0,0,1,2,2,4,18,17,1,311.25,389.1
18,5,6,0,0,5,1,0,0,2,2,2,1,12,8,1,268.65,285.13
18,5,4,0,0,5,1,0,0,3,3,3,2,20,11,1,327.24,329.28
18,5,2,1,1,5,1,0,0,2,2,2,2,19,6,1,301.84,285.09
17,1,1,0,0,5,1,0,0,3,3,3,4,16,8,1,293.67,290.43
17,3,1,1,0,3,1,0,0,2,2,1,4,14,8,1,274.68,308.2
17,1,3,1,0,5,1,0,0,3,3,2,2,8,3,1,225.55,253.44
18,1,1,0,1,3,1,0,0,2,2,2,2,17,12,1,294.86,348.17
17,5,5,1,0,3,1,0,0,2,2,3,3,4,5,1,190.27,224.02
17,6,3,0,1,3,1,0,0,3,3,2,4,15,13,1,275,352.61
18,1,1,0,0,5,1,0,0,2,0,0,2,15,7,1,269.19,263.5
17,3,3,0,0,5,1,0,0,2,2,2,3,19,10,1,308.41,294.85
17,2,2,1,0,3,1,0,0,3,3,2,4,23,12,1,339.02,352.08
17,4,4,1,1,3,1,0,0,3,3,1,1,18,6,1,311.91,256.01
17,4,4,1,1,5,2,0,0,2,3,1,1,18,11,1,311.45,306.29
18,3,3,1,0,3,1,0,0,2,2,2,3,16,4,1,290.37,212.45
17,3,3,0,0,5,1,0,0,2,2,2,4,20,2,1,321.98,210.41
17,3,5,1,0,3,1,0,0,3,3,3,1,15,9,1,287.86,318.91
17,5,5,1,0,3,1,0,0,3,3,3,1,17,4,1,298.01,235.08
18,3,3,0,0,5,1,0,0,3,2,2,4,9,10,1,225.51,288.79
18,1,1,1,1,3,1,1,0,3,2,2,2,17,2,1,280.09,220.51
17,6,3,1,1,3,1,0,0,3,3,2,2,19,7,1,292.78,280.29
17,2,2,1,1,3,1,0,0,3,3,3,4,18,6,1,295.38,289.06
17,3,3,0,0,3,1,0,0,3,2,3,1,17,6,1,288.57,247.88
17,3,3,1,1,5,1,0,0,2,3,2,2,21,8,1,309.17,280.17
17,6,1,1,1,3,2,0,0,3,3,1,4,24,20,1,339.21,417.01
17,6,3,1,1,3,1,0,0,3,2,2,3,17,8,1,286.53,292.59
17,5,2,1,1,3,1,0,0,3,3,2,3,5,4,1,177.23,238.28
17,3,3,0,0,5,1,0,0,3,3,3,1,10,5,1,247.78,259.42
18,3,3,0,0,5,1,0,0,3,3,2,2,19,9,1,282.14,323.11
17,1,3,1,0,3,1,0,0,2,2,2,1,12,5,1,210.47,206.12
18,4,4,1,2,3,1,0,0,2,2,2,1,18,4,1,304.91,236.27
17,4,1,0,0,3,1,0,0,3,3,3,1,16,7,1,275.7,251.67
18,5,4,1,2,3,1,0,0,2,2,1,1,14,7,1,250.59,302.64
17,5,2,1,1,3,1,0,0,3,3,3,1,11,1,1,245.06,209.6
17,4,4,1,1,5,1,0,0,2,2,2,4,18,21,1,284.22,441.68
18,5,4,0,1,5,1,0,0,3,3,2,1,17,8,1,293.08,302.15
17,3,5,1,1,3,2,0,0,2,2,2,4,22,12,1,336.22,371.05
18,3,3,1,0,3,1,0,0,2,3,2,2,5,4,1,188.42,253.96
17,6,6,1,1,3,1,0,0,3,2,2,1,10,4,1,242.25,243.5
17,5,4,0,0,3,1,0,0,3,2,2,1,10,6,1,243.46,248.89
17,3,4,0,0,5,1,0,0,2,2,2,3,11,1,1,234.62,194.38
17,5,5,1,0,3,3,1,0,2,3,2,4,10,4,1,249.65,231.55
17,3,5,1,1,3,1,0,0,3,3,3,1,16,5,1,282.64,235.86
18,5,5,1,0,5,1,0,0,2,3,3,3,6,4,1,189.58,213.65
18,2,2,0,0,3,1,1,0,3,3,2,2,2,3,1,157.05,176
17,3,3,0,0,3,1,0,0,2,2,2,1,14,8,1,274.84,242.04
17,1,4,0,0,5,1,0,0,2,2,1,1,14,6,1,267.02,254.03
18,2,2,1,0,5,1,1,0,2,2,2,1,19,10,1,313.03,329.67
17,4,4,1,0,5,1,1,0,3,3,2,2,5,6,1,206.88,224.92
18,2,2,1,0,3,1,0,0,0,1,1,2,18,8,1,308.18,269.77
17,4,3,1,0,3,1,0,0,2,2,3,2,19,6,1,301.08,242.73
18,3,3,1,0,3,1,0,0,2,2,2,4,17,9,1,284.31,302.66
17,3,2,0,0,3,1,0,0,2,2,2,4,14,5,1,270.34,251.25
17,2,2,1,1,5,3,0,0,3,2,1,4,23,18,1,340.78,410.03
18,5,2,1,0,3,1,0,0,2,2,1,4,20,13,1,316.66,338.59
17,3,3,0,0,3,2,0,0,2,2,2,1,7,4,1,201.54,233.85
17,3,6,1,1,3,1,0,0,2,2,2,3,13,8,1,265.89,282.23
19,2,2,0,1,3,1,1,0,2,2,2,2,24,2,1,344.78,219.5
18,2,2,1,1,3,3,2,0,2,1,2,2,3,5,1,175.14,247.22
19,3,2,0,0,3,1,2,0,1,1,1,1,25,11,1,385.05,336.38
18,1,1,1,0,3,1,1,0,3,1,1,2,17,6,1,279.86,292.45
18,5,2,1,0,3,1,0,0,2,2,2,2,22,13,1,343.29,321.58
17,4,1,1,0,3,1,0,0,2,2,1,1,21,17,1,329.39,386.85
17,5,5,1,0,3,1,0,0,1,3,1,3,13,8,1,266.5,262.32
18,2,2,1,0,3,1,0,0,2,3,2,1,19,6,1,309.31,277.75
17,4,4,0,0,3,1,0,0,2,2,2,1,18,9,1,292.56,337.04
17,5,3,1,0,3,1,0,0,3,3,2,1,10,3,1,237.11,191.15
17,3,3,1,1,5,1,0,0,3,3,2,4,25,4,1,344.07,238.48
17,5,4,1,0,5,1,0,0,3,3,3,4,12,8,1,246.92,272.03
17,6,3,1,1,3,1,0,0,3,2,2,2,6,3,1,207.54,220.58
18,3,1,1,0,5,1,0,0,2,2,2,1,15,8,1,288.44,299.02
18,4,1,0,0,5,1,1,0,2,3,1,3,11,6,1,250.53,189.9
17,3,3,0,0,3,1,0,0,3,2,2,1,17,8,1,285.07,275.53
17,5,4,1,1,3,1,0,0,3,2,2,3,12,8,1,265.41,290.08
17,1,6,0,0,3,1,0,0,3,2,2,1,9,5,1,231.94,231.87
19,5,1,1,0,3,1,1,0,3,3,3,1,1,4,1,151.29,194.95
18,1,2,0,0,3,1,0,0,3,3,3,2,13,9,1,268.3,274.52
17,2,2,0,0,3,1,1,0,2,2,3,2,9,5,1,240.75,230.1
17,6,2,1,0,3,1,0,0,3,3,3,2,19,5,1,310.96,275.41
17,1,1,0,1,3,1,0,0,3,3,2,1,15,4,1,275.38,192.76
17,3,1,1,0,3,1,0,0,3,3,3,2,20,9,1,310.29,294.98
17,2,2,1,0,5,1,0,0,3,2,2,4,24,9,1,354.6,310.3
18,4,3,1,0,3,3,2,0,0,3,1,2,15,5,1,265.99,257.16
17,5,5,0,0,3,1,0,0,2,1,1,4,19,6,1,300.92,273.82
17,4,6,0,0,5,2,1,2,0,3,2,1,17,7,1,297.98,260.03
18,1,1,0,0,5,1,0,0,2,2,2,3,7,2,1,213.08,208.98
17,1,3,0,0,3,1,0,0,3,3,2,1,17,7,1,305.68,258.46
18,3,1,0,0,3,1,1,0,0,2,2,1,20,10,1,300.06,327.24
17,3,3,0,0,5,3,0,0,3,2,2,2,13,3,1,273.53,221.31
18,3,1,0,0,3,1,0,0,3,2,1,2,5,8,1,194.35,206.95
17,3,3,1,0,3,1,0,0,2,2,2,2,16,5,1,280.7,241.66
18,2,2,1,0,3,1,0,0,2,3,2,2,22,11,1,344.28,331.89
18,4,2,0,0,3,1,0,0,2,2,2,1,17,16,1,294.61,376.68
17,4,2,1,0,3,1,0,0,1,2,2,3,12,5,1,269.21,271.83
19,2,2,1,0,7,1,0,2,3,3,1,1,9,3,1,233.83,226.35
18,2,2,1,0,5,1,0,0,2,1,1,1,19,7,1,298.94,272.24
18,3,2,0,0,3,1,0,0,2,2,2,2,16,8,1,275.26,274.38
17,5,1,0,0,5,1,0,0,2,2,2,3,4,2,1,171.77,234.3
17,2,2,1,1,5,2,0,0,3,3,3,3,10,4,1,248.53,204.42
18,1,1,1,1,5,1,0,0,2,2,2,4,21,11,1,315.87,330.05
17,2,2,1,0,5,1,0,0,2,2,2,1,13,14,1,260.87,361.22
17,3,2,1,1,5,1,0,0,3,3,3,1,7,5,1,231.95,222.8
17,2,2,0,0,5,1,0,0,1,2,2,2,8,5,1,196.39,242.84
18,1,5,1,0,3,1,0,0,2,2,2,1,12,9,1,217.75,292.34
17,2,4,0,0,3,1,0,0,3,2,3,1,13,5,1,267.76,225.36
17,2,2,0,0,5,1,0,0,3,3,3,4,13,6,1,259.97,270.61
19,5,5,1,0,5,3,1,0,2,1,1,1,15,5,1,279.4,267.01
17,3,2,0,0,3,1,0,0,3,3,3,4,24,16,1,341.12,383.01
17,4,3,1,1,3,2,0,0,2,2,2,3,12,5,1,260.15,228.53
19,1,1,0,0,5,1,1,0,3,3,3,4,14,3,1,273.05,240.06
17,5,2,1,0,5,1,0,0,2,3,2,4,18,9,1,297.5,325.66
17,3,3,0,0,5,1,0,0,3,3,3,1,14,6,1,265.66,265.92
17,5,3,1,1,3,1,0,0,2,2,2,2,17,8,1,296.05,296.38
17,3,4,1,1,3,2,1,1,0,2,2,2,18,5,1,304.02,232.04
17,3,3,1,0,3,1,0,0,2,2,2,1,20,10,1,304.23,310.26
17,3,1,1,0,5,1,0,0,2,2,2,2,11,3,1,250.21,254.46
18,1,1,0,0,3,1,0,0,3,3,3,4,24,17,1,356.45,383.09
