IDADE,FORMAÇÃO DA MÃE,FORMAÇÃO DO PAI,ACESSO A INTERNET,NUMERO DE COMPUTADORES,INICIOU OS ESTUDOS,CURSO O ENSINO FUNDAMENTAL,REPROVOU,ABANDONOU A  ESCOLA,GESTÃO ESCOLAR / PROFESSORES TRABALHAM COM FOCO NO SPAECE,PROFESSORES TIRAM DUVIDAS,PROFESSORES CORRIGEM AS ATIVIDADES,TURNO ESCOLAR,NUMERO DE PONTOS EM PORTUGUES,NÚMERO DE PONTOS EM MATEMÁTICA,SEXO,PROFICIENCIA EM PORTUGUES,PROFICIENCIA EM MATEMÁTICA
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,,,,,,,,,,,,
18,3,2,0,0,3,1,0,0,3,2,2,1,12,11,1,233.83,324.04
17,1,1,1,0,5,1,0,0,2,2,1,2,17,5,1,298.31,260.47
17,3,4,1,1,5,1,0,0,2,3,2,3,10,5,1,228.49,264.49
18,1,1,1,1,3,1,0,0,3,3,2,2,16,11,1,281.53,338.23
18,5,3,1,1,5,1,0,0,3,3,2,1,16,5,1,282.3,236.22
18,3,4,1,0,3,1,0,0,2,1,1,2,17,7,1,281.98,284.07
17,3,4,0,1,3,1,0,0,3,3,2,3,13,4,1,272.78,264.77
17,4,3,1,0,3,1,0,0,3,3,3,1,19,8,1,314.5,290.96
18,1,1,1,0,5,1,1,0,2,2,1,4,17,8,1,284.78,273.44
18,2,2,1,0,3,1,0,0,3,3,2,4,22,20,1,339.95,407.41
19,5,5,1,0,3,1,1,1,3,3,3,1,18,3,1,304.89,228.1
19,2,2,1,1,3,1,1,0,3,2,2,3,12,3,1,256.22,231.69
20,3,1,0,0,5,1,0,2,3,2,2,1,21,16,1,324.69,384.78
17,3,1,1,0,3,1,0,0,3,2,3,2,17,13,1,301.54,355.54
17,6,2,1,1,3,1,0,0,3,3,3,1,14,6,1,261.93,255.49
18,4,3,1,0,5,1,1,0,2,3,2,1,22,4,1,323.79,252.99
19,5,5,1,1,7,3,2,1,0,2,1,2,19,7,1,294.23,309.33
18,4,4,0,0,3,1,1,0,2,3,1,3,19,7,1,291.05,288.15
19,3,1,1,0,7,1,0,0,3,3,3,1,18,4,1,296.89,257.61
18,5,4,0,1,5,1,0,0,0,0,1,3,8,6,1,173.49,231.77
19,4,4,1,0,3,3,2,0,3,3,2,2,16,5,1,284.51,222.97
18,3,2,1,0,3,1,1,0,2,2,1,1,4,4,1,199.42,253.99
18,2,2,1,0,3,3,1,0,3,3,3,2,5,5,1,192.66,196.93
18,5,3,1,0,5,3,1,0,2,3,2,1,15,9,1,291.22,291.76
18,1,1,0,0,3,1,0,0,3,2,2,2,7,3,1,218.53,206.15
17,2,2,1,2,3,1,0,0,2,2,2,4,7,4,1,204.01,211
17,2,2,0,0,3,1,0,0,3,2,2,2,8,4,1,238.87,190.13
17,1,1,1,0,3,1,0,0,2,3,3,2,13,9,1,265.43,305.87
18,3,1,1,0,5,2,1,0,3,1,1,4,22,23,1,342.95,447.92
17,5,5,1,0,3,1,0,0,2,3,3,4,9,5,1,293.48,281.65
17,4,1,1,0,3,1,0,0,3,2,2,1,11,4,1,251.53,217.71
19,1,1,1,0,5,1,2,2,2,2,2,1,18,7,1,293.6,297.68
20,3,2,0,0,5,1,2,0,3,3,1,4,22,14,1,336.45,358.63
18,1,3,1,0,3,1,1,0,1,2,1,2,8,7,1,230.03,271.17
18,3,2,1,0,3,1,0,0,2,2,2,2,11,4,1,247.03,192.08
18,1,3,0,0,5,1,1,0,2,2,1,1,19,8,1,293.28,282.19
18,5,2,1,0,5,1,0,0,3,3,3,1,17,6,1,292.94,256.36
17,3,3,1,0,3,1,0,0,2,2,2,1,9,4,1,225.23,242.98
17,2,2,1,0,5,1,1,0,3,3,3,2,15,4,1,274.72,203.72
18,5,2,1,0,5,2,1,0,0,2,1,2,10,5,1,220.48,253.32
17,1,5,1,0,3,3,0,0,2,2,1,1,13,7,1,266.2,296.75
18,4,1,1,0,3,1,1,0,3,1,3,4,20,7,1,308.7,303.4
18,2,2,1,1,5,1,1,0,2,2,2,4,10,6,1,229.64,301.94
18,3,3,1,0,3,1,1,0,2,2,1,1,9,9,1,235.37,308.1
20,3,1,1,0,3,1,1,0,3,3,3,2,23,6,1,353.97,270.75
18,3,3,1,0,3,1,0,0,3,3,3,3,12,1,1,244.07,202.73
18,5,5,1,0,5,1,0,0,2,2,2,1,7,2,1,205.03,214.22
18,1,1,1,0,3,1,1,0,2,1,1,2,13,4,1,266.61,263.28
17,3,3,1,0,5,1,0,0,3,3,2,2,13,2,1,252.88,214.98
17,1,1,1,0,3,1,0,0,2,2,2,4,15,7,1,283.56,281.28
17,3,4,1,1,3,1,0,0,2,2,2,1,18,6,1,297.14,249.42
18,1,1,1,0,5,1,0,0,3,2,2,1,6,5,1,189.04,227.26
18,3,3,0,0,3,1,0,0,2,2,2,4,23,21,1,352.59,432.03
18,1,4,0,0,3,1,0,0,2,2,2,3,9,5,1,236.75,249.05
17,4,5,1,0,3,1,0,0,2,2,2,1,20,5,1,318.01,264.77
18,1,1,0,0,3,1,0,0,2,2,2,1,19,5,1,311.47,266.18
19,5,5,1,1,3,1,1,0,3,3,2,4,17,9,1,292.85,239.79
19,3,3,0,0,5,2,1,0,1,2,1,2,15,7,1,283.53,278.88
18,3,1,0,0,3,1,0,0,2,2,2,3,12,3,1,247.76,223.75
18,2,2,1,0,7,1,0,0,3,3,3,1,15,8,1,269.88,282.53
17,3,3,0,0,5,1,0,0,2,2,2,3,18,8,1,288.13,261.95
19,1,1,1,0,7,1,2,0,2,2,2,1,4,3,1,173.91,187.1
18,1,1,0,0,3,1,1,0,3,2,1,2,20,8,1,314.15,292.13
17,3,3,1,0,3,1,0,0,2,2,2,3,16,6,1,283.26,236.32
19,4,3,0,0,5,1,1,0,3,3,2,1,15,8,1,249.49,289.06
19,1,2,0,0,3,1,1,1,1,1,1,4,20,15,1,327.14,363.44
18,1,3,1,0,5,1,0,0,2,2,2,1,7,5,1,216.79,243.83
17,2,2,0,0,3,1,0,0,2,1,2,2,17,7,1,280.72,284.41
17,3,4,0,0,3,1,0,0,3,3,3,1,12,10,1,258.47,308.18
17,1,1,1,0,5,1,0,0,2,2,2,1,23,10,1,345.37,322.79
17,5,5,1,0,3,1,0,0,3,2,3,2,11,7,1,228.99,248.71
19,4,5,1,0,3,1,0,1,3,0,2,4,19,11,1,316.2,346.95
18,4,4,1,0,5,1,0,0,2,3,3,3,8,4,1,219.11,191.19
18,4,1,0,1,3,1,1,1,2,1,1,2,17,5,1,296.95,255.75
18,1,5,1,0,3,1,0,0,1,1,2,1,14,5,1,274.01,235.54
19,3,5,1,1,3,1,2,0,2,1,1,1,6,4,1,238.81,192.09
17,3,1,1,0,3,1,0,0,1,1,3,2,15,2,1,273.87,218.75
19,2,2,1,0,3,1,1,0,3,2,1,2,11,6,1,252.2,258.45
17,5,3,1,0,5,1,0,0,1,2,1,1,16,4,1,270.95,241.76
19,3,3,0,0,5,3,2,0,3,2,3,3,8,5,1,235.57,253.06
17,3,4,1,0,5,1,0,0,1,3,1,4,21,11,1,324.45,351.98
17,4,5,1,0,5,1,0,0,2,3,2,1,13,7,1,246.68,244.78
18,1,3,1,0,5,1,1,0,2,3,2,1,20,3,1,323.28,226.58
17,2,2,1,0,5,1,0,0,2,2,2,2,7,7,1,208.01,262.55
17,5,1,0,0,3,1,0,0,3,3,3,2,13,6,1,241.42,243.04
18,4,3,1,0,5,2,1,0,0,3,2,1,23,15,1,343.65,367.45
19,3,4,0,0,5,1,1,0,3,3,3,2,3,5,1,161.18,224.78
18,3,1,0,0,5,1,0,0,3,2,2,1,16,4,1,283.61,277.21
19,2,2,0,0,5,1,0,0,3,3,1,1,16,7,1,278.36,244.85
17,2,2,1,0,3,1,0,0,3,3,2,2,19,9,1,311.31,311.94
19,1,1,1,0,9,1,1,0,3,2,2,2,20,8,1,312.78,304.69
17,1,1,1,0,5,1,1,0,3,3,3,3,5,5,1,172.48,192.16
17,1,1,1,0,5,1,0,0,3,3,2,2,4,4,1,181.9,234.33
18,3,3,1,0,3,1,1,0,3,3,3,4,19,10,1,303.78,307.28
19,6,1,1,1,5,2,2,0,3,3,2,1,7,2,1,213.01,224.66
17,3,3,1,0,3,1,0,0,3,3,2,3,6,5,1,201.65,254.87
18,4,2,0,0,5,1,1,0,3,3,3,2,2,6,1,159.54,249.07
18,3,4,0,0,5,2,0,0,3,2,2,2,6,3,1,224.67,203.97
19,5,6,1,1,3,3,2,0,2,2,2,3,15,6,1,271.94,286.39
18,1,5,0,0,3,1,0,1,3,3,1,1,6,6,1,191.5,203.2
17,3,2,1,0,3,1,0,0,3,2,1,3,7,3,1,178.65,218.64
18,4,3,1,1,5,1,1,0,3,2,2,2,22,4,1,327.3,221.4
18,3,3,0,0,3,1,1,1,2,2,2,1,6,18,1,186.15,377.86
17,1,1,0,0,3,1,0,0,3,2,3,2,7,2,1,209.75,218.03
19,2,2,1,0,5,1,1,0,2,3,3,1,13,7,1,274.25,250.24
18,5,1,1,0,3,1,0,0,2,2,3,4,21,8,1,317.85,290.41
17,1,1,1,0,9,1,0,0,2,2,2,2,6,6,1,188.6,229.26
17,1,1,1,1,3,1,0,0,3,3,2,4,19,16,1,305.09,407.85
17,3,5,1,0,3,1,0,0,1,2,2,1,16,6,1,284.92,255.68
18,2,2,0,0,3,1,1,0,2,2,2,2,20,8,1,293.83,316.64
18,1,1,1,1,3,1,0,0,3,3,2,3,4,2,1,187.56,218.1
18,3,2,1,1,5,1,0,0,3,3,1,1,13,10,1,257.29,293.61
18,4,5,0,0,3,1,1,0,3,3,3,4,18,2,1,303.04,232.21
17,2,5,1,2,5,1,0,0,3,3,3,4,21,7,1,319.47,316.08
17,4,3,1,0,5,1,0,0,2,2,2,2,18,14,1,291.54,369.81
17,3,5,1,1,5,1,0,0,2,2,1,1,14,7,1,266.77,255.1
18,2,1,1,0,5,1,0,0,2,2,2,1,13,2,1,262.76,231.3
18,2,5,1,1,5,1,1,0,2,2,1,1,13,6,1,256.1,227.29
18,4,3,1,0,5,1,1,0,2,2,2,1,10,6,1,241.97,245.88
19,3,3,1,0,5,1,1,1,2,3,3,1,16,8,1,288.4,253.8
18,3,3,1,1,3,1,0,0,2,1,2,1,6,4,1,189.72,238.09
19,1,1,1,1,3,1,2,0,2,2,2,1,14,7,1,262.66,273.92
17,4,5,1,1,5,1,0,0,2,2,2,1,12,5,1,245.44,243.91
17,4,4,1,0,3,1,0,0,3,1,1,3,7,3,1,222.6,224.57
18,4,4,1,0,5,1,1,0,2,2,2,1,20,9,1,298.3,328.42
18,4,5,1,0,3,1,1,0,3,2,3,3,6,4,1,159.83,256.41
19,3,3,0,0,5,1,0,0,3,3,2,1,20,11,1,314.41,350.47
19,4,4,1,0,3,1,2,0,3,3,3,1,21,16,1,328.49,392.54
20,1,1,0,0,5,1,1,1,3,2,2,1,17,6,1,290.1,243.44
18,4,3,1,0,3,3,0,0,1,2,2,1,11,10,1,263.4,302.1
18,5,6,1,2,3,3,1,0,2,2,2,4,20,17,1,320.21,394.46
18,1,1,0,0,3,1,0,0,2,2,2,3,11,5,1,251.49,260.23
17,5,3,0,0,3,3,0,0,2,2,2,3,8,9,1,210.02,284.54
17,3,4,1,2,3,1,0,0,1,3,2,1,17,8,1,280.37,270.7
18,5,3,1,1,5,3,0,0,3,2,1,1,8,4,1,220.57,239.53
18,5,5,1,1,3,3,0,0,2,2,2,1,11,6,1,254.77,232.57
17,3,3,1,0,3,1,0,0,2,2,2,2,16,4,1,287.91,242.26
17,5,6,1,2,3,2,0,0,3,3,3,1,10,9,1,225.79,316.5
18,3,3,1,0,3,1,0,0,2,2,2,2,22,10,1,335.96,295.17
